"SUMLEV","STATE","COUNTY","PLACE","COUSUB","CONCIT","PRIMGEO_FLAG","FUNCSTAT","NAME","STNAME","ESTIMATESBASE2020","POPESTIMATE2020","POPESTIMATE2021","POPESTIMATE2022","POPESTIMATE2023","POPESTIMATE2024"
40,49,0,0,0,0,0,"A","Utah","Utah",3271608,3284077,3339738,3391011,3443222,3503613
162,49,0,540,0,0,0,"A","Alpine city","Utah",10262,10269,10364,10348,10393,10548
162,49,0,650,0,0,0,"A","Alta town","Utah",229,228,230,228,229,228
162,49,0,760,0,0,0,"A","Altamont town","Utah",238,238,239,244,248,250
162,49,0,870,0,0,0,"A","Alton town","Utah",118,118,117,117,117,116
162,49,0,1090,0,0,0,"A","Amalga town","Utah",483,487,495,502,511,517
162,49,0,1310,0,0,0,"A","American Fork city","Utah",33378,33560,34453,37368,38894,41298
162,49,0,1750,0,0,0,"A","Annabella town","Utah",838,841,857,874,882,886
162,49,0,1860,0,0,0,"A","Antimony town","Utah",118,118,118,122,123,123
162,49,0,1905,0,0,0,"A","Apple Valley town","Utah",855,862,890,901,917,931
162,49,0,2740,0,0,0,"A","Aurora city","Utah",996,999,1018,1036,1046,1053
162,49,0,3345,0,0,0,"A","Ballard town","Utah",1125,1129,1158,1185,1237,1277
162,49,0,3950,0,0,0,"A","Bear River City city","Utah",876,877,890,879,886,901
162,49,0,4060,0,0,0,"A","Beaver city","Utah",3594,3602,3638,3722,3703,3749
162,49,0,5490,0,0,0,"A","Bicknell town","Utah",327,329,333,336,329,328
162,49,0,5534,0,0,0,"A","Big Water town","Utah",444,444,442,483,515,535
162,49,0,6370,0,0,0,"A","Blanding city","Utah",3384,3383,3330,3241,3197,3216
162,49,0,6700,0,0,0,"A","Bluff town","Utah",242,242,243,244,245,250
162,49,0,6810,0,0,0,"A","Bluffdale city","Utah",17014,17360,18795,19140,19292,19393
162,49,0,7470,0,0,0,"A","Boulder town","Utah",229,231,236,243,246,244
162,49,0,7690,0,0,0,"A","Bountiful city","Utah",45773,45779,45478,44566,44309,45024
162,49,0,8020,0,0,0,"A","Brian Head town","Utah",148,149,153,157,160,164
162,49,0,8460,0,0,0,"A","Brigham City city","Utah",19644,19683,19989,20005,20035,20319
162,49,0,8570,0,0,0,"A","Brighton town","Utah",434,434,435,442,452,466
162,49,0,8787,0,0,0,"A","Bryce Canyon City town","Utah",341,342,345,351,355,352
162,49,0,10330,0,0,0,"A","Cannonville town","Utah",182,183,183,189,192,191
162,49,0,10660,0,0,0,"A","Castle Dale city","Utah",1484,1489,1506,1527,1535,1537
162,49,0,11000,0,0,0,"A","Castle Valley town","Utah",348,348,351,361,366,367
162,49,0,11320,0,0,0,"A","Cedar City city","Utah",35248,35473,37359,38802,40104,40885
162,49,0,11430,0,0,0,"A","Cedar Fort town","Utah",426,425,431,422,420,420
162,49,0,11440,0,0,0,"A","Cedar Hills city","Utah",10022,10004,10025,9994,9895,9916
162,49,0,11870,0,0,0,"A","Centerfield town","Utah",1337,1343,1374,1401,1429,1446
162,49,0,11980,0,0,0,"A","Centerville city","Utah",16884,16880,16829,16530,16575,16560
162,49,0,12260,0,0,0,"A","Central Valley town","Utah",647,650,659,673,677,683
162,49,0,12420,0,0,0,"A","Charleston town","Utah",435,437,438,424,412,409
162,49,0,12970,0,0,0,"A","Circleville town","Utah",550,548,556,545,554,537
